code,locale,name,descr
STD,ru,Стандартный полный рабочий день,
PRJ,ru,Проектный контракт,
FLN,ru,Фриланс-соглашение,
TRM,ru,Временная позиция,
INT,ru,Программа стажировки,
EXC,ru,Эксклюзивный контракт с талантом,
NEX,ru,Неэксклюзивный талант,
DCT,ru,Контракт режиссера,
WRT,ru,Соглашение сценариста,
ACT,ru,Актерский контракт,
CRE,ru,Соглашение с командой,
OPT,ru,Опционное соглашение,
DEV,ru,Договор на разработку,
LBR,ru,Профсоюзный контракт,
STD,es,Contrato Estándar Tiempo Completo,
PRJ,es,Contrato por Proyecto,
FLN,es,Acuerdo de Freelance,
TRM,es,Puesto Temporal,
INT,es,Programa de Prácticas,
EXC,es,Contrato Exclusivo de Talento,
NEX,es,Talento No Exclusivo,
DCT,es,Contrato de Director,
WRT,es,Acuerdo de Guionista,
ACT,es,Contrato de Actuación,
CRE,es,Acuerdo de Servicios de Equipo,
OPT,es,Contrato de Opción,
DEV,es,Acuerdo de Desarrollo,
LBR,es,Contrato Sindical,
