code,locale,name,
TRAVEL,en,Travel Expenses,
TRAVEL,ru,Командировочные расходы,
TRAVEL,es,Gastos de Viaje,
CATERING,en,Craft Services/Catering,
CATERING,ru,Кейтеринг/Питание,
CATERING,es,Catering/Servicio de Comida,
WARDROBE,en,Wardrobe/Costumes,
WARDROBE,ru,Гардероб/Костюмы,
WARDROBE,es,Vestuario/Disfraces,
STUNTS,en,Stunt Coordination,
STUNTS,ru,Каскадерские трюки,
STUNTS,es,Coordinación de Acrobacias,
LOCATION,en,Location Fees,
LOCATION,ru,Аренда локаций,
LOCATION,es,Tarifas de Ubicación,
MUSIC,en,Music Composition,
MUSIC,ru,Музыкальное сопровождение,
MUSIC,es,Composición Musical,
POSTPROD,en,Post-Production,
POSTPROD,ru,Пост-продакшн,
POSTPROD,es,Postproducción,
PROPS,en,Props/Set Dressing,
PROPS,ru,Реквизит/Оформление,
PROPS,es,Utilería/Diseño de Escena,
MAKEUP,en,Makeup/Special FX,
MAKEUP,ru,Грим/Спецэффекты,
MAKEUP,es,Maquillaje/Efectos Especiales,
INSURANCE,en,Production Insurance,
INSURANCE,ru,Страховка производства,
INSURANCE,es,Seguro de Producción,
EQUIPMENT,en,Equipment Rental,
EQUIPMENT,ru,Аренда оборудования,
EQUIPMENT,es,Alquiler de Equipos,
HAIR,en,Hair Styling,
HAIR,ru,Укладка волос,
HAIR,es,Peinado,
PYRO,en,Pyrotechnics,
PYRO,ru,Пиротехника,
PYRO,es,Pirotecnia,
SOUND,en,Sound Design,
SOUND,ru,Звуковой дизайн,
SOUND,es,Diseño de Sonido,
LIGHTING,en,Lighting Equipment,
LIGHTING,ru,Осветительное оборудование,
LIGHTING,es,Equipo de Iluminación,
TRANSPORT,en,Transportation,
TRANSPORT,ru,Транспорт,
TRANSPORT,es,Transporte,
