code,locale,name,descr
STUD,en,Studio,
STUD,es,Estudio,
STUD,ru,Студия,
WARE,en,Warehouse,
WARE,es,Almacén,
WARE,ru,Склад,
WRDB,en,Wardrobe,
WRDB,es,Guardarropa,
WRDB,ru,Гардероб,
REPL,en,Repair Lab,
REPL,es,Taller de Reparación,
REPL,ru,Ремонтная мастерская,
STOR,en,Storage Unit,
STOR,es,Almacén,
STOR,ru,Складское помещение,
STGE,en,Soundstage,
STGE,es,Plató de Sonido,
STGE,ru,Звуковая сцена,
BACK,en,Backlot,
BACK,es,Exteriores (Backlot),
BACK,ru,Бэклот (съемочная площадка),
VEHD,en,Vehicle Depot,
VEHD,es,Depósito de Vehículos,
VEHD,ru,Автобаза,
DRRM,en,Dressing Room,
DRRM,es,Camerino,
DRRM,ru,Гримерка,
ONLC,en,On Location,
ONLC,es,En Exteriores,
ONLC,ru,Натуральные декорации,
CTRL,en,Control Room,
CTRL,es,Sala de Control,
CTRL,ru,Комната управления,
