code,name,descr
DIRECTOR,Director,
ACTOR,Actor,
PRODUCER,Producer,
WRITER,Writer,
CINEMATOGRAPHER,Cinematographer,
EDITOR,Editor,
COMPOSER,Composer,
COSTUME_DESIGNER,Costume Designer,
MAKEUP_ARTIST,Makeup Artist,
STUNT_COORDINATOR,Stunt Coordinator,
SOUND_ENGINEER,Sound Engineer,
PRODUCTION_ASSISTANT,Production Assistant,
GAFFER,Gaffer,
BEST_BOY,Best Boy,
SCRIPT_SUPERVISOR,Script Supervisor,
CASTING_DIRECTOR,Casting Director,
LOCATION_MANAGER,Location Manager,
WAREHOUSE_MANAGER,Warehouse Manager,
GARAGE_MANAGER,Garage Manager,
